PROPERTY NAME,CITY
1 Hotel San Francisco,San Francisco, CA
Argonaut Hotel,San Francisco, CA
Chamberlain West Hollywood Hotel,West Hollywood, CA
Chaminade Resort & Spa,Santa Cruz, CA
Embassy Suites San Diego Bay - Downtown,San Diego, CA
Estancia La Jolla Hotel & Spa,San Diego, CA
George Hotel,Washington, DC
Harbor Court Hotel San Francisco,San Francisco, CA
Hilton San Diego Gaslamp Quarter,San Diego, CA
Hotel Chicago Downtown, Autograph Collection,Chicago, IL
Hotel Monaco Washington DC,Washington, DC
Hotel Palomar Los Angeles Beverly Hills,Los Angeles, CA
Hotel Vintage Seattle,Seattle, WA
The Hotel Zags,Portland, OR
Hotel Zelos San Francisco,San Francisco, CA
Hotel Zena Washington DC,Washington, DC
Hotel Zephyr Fisherman's Wharf,San Francisco, CA
Hotel Zeppelin San Francisco,San Francisco, CA
Hotel Zetta San Francisco,San Francisco, CA
Hotel Ziggy,West Hollywood, CA
Hotel Zoe Fisherman's Wharf,San Francisco, CA
Hyatt Regency Boston Harbor,Boston, MA
Inn on Fifth,Naples, FL
Jekyll Island Club Resort,Jekyll Island, GA
LaPlaya Beach Resort & Club,Naples, FL
L'Auberge Del Mar,Del Mar, CA
Le Méridien Delfina Santa Monica,Santa Monica, CA
Le Parc Suite Hotel,West Hollywood, CA
The Liberty, a Luxury Collection Hotel, Boston,Boston, MA
Margaritaville Hollywood Beach Resort,Hollywood, FL
The Marker Key West Harbor Resort,Key West, FL
Mondrian Los Angeles,Los Angeles, CA
Montrose West Hollywood,West Hollywood, CA
Newport Harbor Island Resort,Newport, RI
The Nines, a Luxury Collection Hotel, Portland,Portland, OR
Paradise Point Resort & Spa,San Diego, CA
Revere Hotel Boston Common,Boston, MA
San Diego Mission Bay Resort,San Diego, CA
Skamania Lodge,Columbia River Gorge, WA
Solamar Hotel,San Diego, CA
Southernmost Beach Resort,Key West, FL
Viceroy Santa Monica Hotel,Santa Monica, CA
Viceroy Washington DC,Washington, DC
W Boston,Boston, MA
W Los Angeles - West Beverly Hills,Westwood, CA
The Westin Copley Place, Boston,Boston, MA
The Westin Michigan Avenue Chicago,Chicago, IL
The Westin San Diego Gaslamp Quarter,San Diego, CA
