Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated,Streaming,Link
1,tt0185906,2023-04-07,2023-04-07,,Band of Brothers,https://www.imdb.com/title/tt0185906/,tvMiniSeries,9.4,594.0,2001,"Drama, History, War",479930,2001-09-09,,8.0,2023-01-27,HBO Max,
2,tt7366338,2023-04-07,2023-04-07,,Chernobyl,https://www.imdb.com/title/tt7366338/,tvMiniSeries,9.4,330.0,2019,"Drama, History, Thriller",787300,2019-05-06,,10.0,2021-12-25,HBO Max,
3,tt0306414,2023-04-07,2023-04-07,,The Wire,https://www.imdb.com/title/tt0306414/,tvSeries,9.3,59.0,2002,"Crime, Drama, Thriller",349262,2002-06-02,,,,HBO Max,
4,tt0141842,2023-04-07,2023-04-07,,The Sopranos,https://www.imdb.com/title/tt0141842/,tvSeries,9.2,55.0,1999,"Crime, Drama",417017,1999-01-10,,,,HBO Max,
5,tt0944947,2023-04-07,2023-04-07,,Game of Thrones,https://www.imdb.com/title/tt0944947/,tvSeries,9.2,57.0,2011,"Action, Adventure, Drama, Fantasy",2146482,2011-04-16,,,,HBO Max,
6,tt2356777,2023-04-07,2023-04-07,,True Detective,https://www.imdb.com/title/tt2356777/,tvSeries,8.9,55.0,2014,"Crime, Drama, Mystery, Thriller",587748,2014-01-12,,,,HBO Max,
7,tt3530232,2023-04-07,2023-04-07,,Last Week Tonight with John Oliver,https://www.imdb.com/title/tt3530232/,tvSeries,8.9,30.0,2014,"Comedy, News, Talk-Show",91124,2014-04-27,,,,HBO Max,
8,tt0108778,2023-04-07,2023-04-07,,Friends,https://www.imdb.com/title/tt0108778/,tvSeries,8.9,22.0,1994,"Comedy, Romance",1018322,1994-09-22,,,,HBO Max,
9,tt3581920,2023-04-07,2023-04-07,,The Last of Us,https://www.imdb.com/title/tt3581920/,tvSeries,8.9,50.0,2023,"Action, Adventure, Drama, Horror, Sci-Fi, Thriller",366346,2023-01-15,,6.0,2023-04-05,HBO Max,
10,tt0200276,2023-04-07,2023-04-07,,The West Wing,https://www.imdb.com/title/tt0200276/,tvSeries,8.9,44.0,1999,Drama,79564,1999-09-22,,,,HBO Max,
11,tt0264235,2023-04-07,2023-04-07,,Curb Your Enthusiasm,https://www.imdb.com/title/tt0264235/,tvSeries,8.8,28.0,2000,Comedy,132955,2000-10-14,,,,HBO Max,
12,tt7660850,2023-04-07,2023-04-07,,Succession,https://www.imdb.com/title/tt7660850/,tvSeries,8.8,60.0,2018,"Comedy, Drama",167550,2018-04-27,,,,HBO Max,
13,tt0121955,2023-04-07,2023-04-07,,South Park,https://www.imdb.com/title/tt0121955/,tvSeries,8.7,22.0,1997,"Animation, Comedy",383121,1997-08-13,,,,HBO Max,
14,tt2887954,2023-04-07,2023-04-07,,Tokyo Vice,https://www.imdb.com/title/tt2887954/,tvSeries,8.0,60.0,2022,"Crime, Drama, Thriller",31613,2022-04-07,,10.0,2023-04-07,HBO Max,
15,tt0384766,2023-04-07,2023-04-07,,Rome,https://www.imdb.com/title/tt0384766/,tvSeries,8.7,52.0,2005,"Action, Drama, Romance, War",175537,2005-08-28,,,,HBO Max,
16,tt0248654,2023-04-07,2023-04-07,,Six Feet Under,https://www.imdb.com/title/tt0248654/,tvSeries,8.7,60.0,2001,"Comedy, Drama",138008,2001-06-03,,,,HBO Max,
17,tt0118421,2023-04-07,2023-04-07,,Oz,https://www.imdb.com/title/tt0118421/,tvSeries,8.7,55.0,1997,"Crime, Drama, Thriller",101681,1997-07-12,,,,HBO Max,
18,tt0348914,2023-04-07,2023-04-07,,Deadwood,https://www.imdb.com/title/tt0348914/,tvSeries,8.6,55.0,2004,"Crime, Drama, History, Western",110467,2004-03-21,,,,HBO Max,
19,tt1870479,2023-04-07,2023-04-07,,The Newsroom,https://www.imdb.com/title/tt1870479/,tvSeries,8.6,55.0,2012,Drama,118583,2012-06-24,,,,HBO Max,
20,tt0863046,2023-04-07,2023-04-07,,Flight of the Conchords,https://www.imdb.com/title/tt0863046/,tvSeries,8.6,28.0,2007,"Comedy, Music, Musical",63069,2007-06-17,,,,HBO Max,
21,tt0475784,2023-04-07,2023-04-07,,Westworld,https://www.imdb.com/title/tt0475784/,tvSeries,8.5,62.0,2016,"Drama, Mystery, Sci-Fi",513352,2016-09-30,,9.0,2022-01-07,HBO Max,
22,tt0387199,2023-04-07,2023-04-07,,Entourage,https://www.imdb.com/title/tt0387199/,tvSeries,8.5,28.0,2004,"Comedy, Drama",171797,2004-07-18,,,,HBO Max,
23,tt2575988,2023-04-07,2023-04-07,,Silicon Valley,https://www.imdb.com/title/tt2575988/,tvSeries,8.5,28.0,2014,Comedy,154957,2014-04-06,,,,HBO Max,
24,tt1759761,2023-04-07,2023-04-07,,Veep,https://www.imdb.com/title/tt1759761/,tvSeries,8.4,28.0,2012,Comedy,58410,2012-04-22,,,,HBO Max,
25,tt1279972,2023-04-07,2023-04-07,,Treme,https://www.imdb.com/title/tt1279972/,tvSeries,8.3,55.0,2010,"Drama, Music",15233,2010-03-18,,,,HBO Max,
26,tt0903747,2023-04-07,2023-04-07,,Breaking Bad,https://www.imdb.com/title/tt0903747/,tvSeries,9.5,49.0,2008,"Crime, Drama, Thriller",1953230,2008-01-20,,10.0,2023-04-07,Netflix,
27,tt10048342,2023-04-07,2023-04-07,,The Queen's Gambit,https://www.imdb.com/title/tt10048342/,tvMiniSeries,8.6,60.0,2020,Drama,479577,2020-10-23,,10.0,2022-01-07,Netflix,
28,tt5290382,2023-04-07,2023-04-07,,Mindhunter,https://www.imdb.com/title/tt5290382/,tvSeries,8.6,60.0,2017,"Crime, Drama, Mystery, Thriller",301425,2017-10-13,,10.0,2023-04-07,Netflix,
